case_id,method,source_type,source_id,target_type,label_source,tags,hybrid_ready_expected,cold_start,latency_ms,time_to_first_usable_ms,result_count,coverage,explanation_coverage,cold_start_success,mrr,precision_at_5,recall_at_5,ndcg_at_5,hit_rate_at_5
hybrid_ent_001_to_project,topic_overlap,enterprise,ent_001,project,admin_review,['hybrid_ready'],True,False,11.06,11.06,2,0.2857142857142857,0.0,1.0,1.0,0.5,0.5,0.7039180890341347,1.0
hybrid_ent_001_to_project,embedding_only,enterprise,ent_001,project,admin_review,['hybrid_ready'],True,False,21.7,21.7,5,0.7142857142857143,0.0,1.0,0.5,0.2,0.5,0.44412286644879784,1.0
hybrid_ent_001_to_project,hybrid,enterprise,ent_001,project,admin_review,['hybrid_ready'],True,False,1751.86,1751.86,5,0.7142857142857143,1.0,1.0,1.0,0.2,0.5,0.46927872602275644,1.0
fnd_001_to_project,random,funder,fnd_001,project,admin_review,[],False,False,1763.42,1763.42,5,0.7142857142857143,0.4,1.0,0.5,0.4,1.0,0.6480409554829326,1.0
fnd_001_to_project,topic_overlap,funder,fnd_001,project,admin_review,[],False,False,8.59,8.59,1,0.14285714285714285,0.0,1.0,1.0,1.0,0.5,0.7039180890341347,1.0
fnd_001_to_project,embedding_only,funder,fnd_001,project,admin_review,[],False,False,28.77,28.77,5,0.7142857142857143,0.0,1.0,1.0,0.2,0.5,0.7039180890341347,1.0
fnd_001_to_project,hybrid,funder,fnd_001,project,admin_review,[],False,False,1996.78,1996.78,5,0.7142857142857143,0.8,1.0,0.25,0.2,0.5,0.3031610197508214,1.0
fnd_002_to_project,random,funder,fnd_002,project,admin_review,[],False,False,1643.8,1643.8,5,0.7142857142857143,0.6,1.0,0.5,0.4,1.0,0.6787622294601761,1.0
fnd_002_to_project,topic_overlap,funder,fnd_002,project,admin_review,[],False,False,9.95,9.95,1,0.14285714285714285,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fnd_002_to_project,embedding_only,funder,fnd_002,project,admin_review,[],False,False,33.17,33.17,5,0.7142857142857143,0.0,1.0,0.3333333333333333,0.4,1.0,0.5069520518174072,1.0
fnd_002_to_project,hybrid,funder,fnd_002,project,admin_review,[],False,False,1772.57,1772.57,5,0.7142857142857143,0.8,1.0,1.0,0.4,1.0,0.9060254355346823,1.0
hybrid_fnd_001_to_project,random,funder,fnd_001,project,admin_review,['hybrid_ready'],True,False,1826.3,1826.3,5,0.7142857142857143,1.0,1.0,1.0,0.2,0.5,0.46927872602275644,1.0
hybrid_fnd_001_to_project,topic_overlap,funder,fnd_001,project,admin_review,['hybrid_ready'],True,False,4.98,4.98,1,0.14285714285714285,0.0,1.0,1.0,1.0,0.5,0.7039180890341347,1.0
hybrid_fnd_001_to_project,embedding_only,funder,fnd_001,project,admin_review,['hybrid_ready'],True,False,26.63,26.63,5,0.7142857142857143,0.0,1.0,1.0,0.2,0.5,0.7039180890341347,1.0
hybrid_fnd_001_to_project,hybrid,funder,fnd_001,project,admin_review,['hybrid_ready'],True,False,1724.44,1724.44,5,0.7142857142857143,0.8,1.0,0.25,0.2,0.5,0.3031610197508214,1.0
